Review text,Ratings,sentiment,clean_review
Excellent durabilityREAD MORE,5,1,excellent durabilityread
Good  payREAD MORE,4,1,good payread
Nice and high servicesREAD MORE,5,1,nice high servicesread
Ok good for itREAD MORE,5,1,good itread
Too expensiveREAD MORE,1,0,expensiveread
Go for the bestREAD MORE,4,1,bestread
Very worst shuttlesREAD MORE,2,0,worst shuttlesread
Perfect one to play with orginal product.READ MORE,5,1,perfect one play orginal product read
There are not last long enough poor qualityREAD MORE,2,0,not last long enough poor qualityread
one of the best shuttles i’ve has playedREAD MORE,5,1,one best shuttle playedread
Fantastic...READ MORE,5,1,fantastic read
Good one.READ MORE,5,1,good one read
Good....READ MORE,4,1,good read
"Very bad quality, this ball box worst,READ MORE",1,0,bad quality ball box worst read
"Super, not compare with any other products. That quality is awesome.READ MORE",5,1,super not compare product quality awesome read
I'm order product in original is received so happy thanksREAD MORE,4,1,order product original received happy thanksread
Original product long lastingREAD MORE,5,1,original product long lastingread
Super quality product... TQ FLIPKARTREAD MORE,5,1,super quality product flipkartread
Good goodREAD MORE,5,1,good goodread
good quality and long lifeREAD MORE,5,1,good quality long liferead
It's good to playREAD MORE,5,1,good playread
Best for allREAD MORE,5,1,best allread
GenuineREAD MORE,5,1,genuineread
Shuttle cork has been separated with in 1 hoursREAD MORE,1,0,shuttle cork separated hoursread
Best I loved itREAD MORE,5,1,best loved itread
Excellent.... It's the Original product...!! Superb & DurableREAD MORE,5,1,excellent original product superb durableread
Good pricingREAD MORE,4,1,good pricingread
"Perfect quality, perfect paking and perfect delivery time as we have expected.READ MORE",5,1,perfect quality perfect paking perfect delivery time expected read
Best for beginnersREAD MORE,5,1,best beginnersread
Very worst quality.READ MORE,1,0,worst quality read
Quality was not good at all. Did not last long like the ones we bought locally of the same brand and modelREAD MORE,2,0,quality not good not last long like one bought locally brand modelread
This is  vary nice productREAD MORE,5,1,vary nice productread
Nice product 🌹🤩🥰🌹READ MORE,5,1,nice product read
Regular customer. Perfect as alwaysREAD MORE,5,1,regular customer perfect alwaysread
"really original,,READ MORE",5,1,really original read
Product not goodREAD MORE,1,0,product not goodread
Very bad itemREAD MORE,1,0,bad itemread
Not good am not impressedREAD MORE,2,0,not good not impressedread
"Not good quality this time , not durableREAD MORE",2,0,not good quality time not durableread
Awesome ❤❤READ MORE,5,1,awesome read
Best product worth for moneyREAD MORE,5,1,best product worth moneyread
Very niceREAD MORE,4,1,niceread
Bad life.. tore easilyREAD MORE,2,0,bad life tore easilyread
Not goodREAD MORE,2,0,not goodread
Mavis is masivREAD MORE,5,1,mavis masivread
Nice 👍👌READ MORE,5,1,nice read
Worth every penny...READ MORE,5,1,worth every penny read
"Original product, I've been playing for more than 5 yrs. No defects found yet.READ MORE",5,1,original product playing yr defect found yet read
Original product...Worth for the moneyREAD MORE,5,1,original product worth moneyread
nice product and delivered on time....READ MORE,4,1,nice product delivered time read
Very bad shuttle..Broken very fastREAD MORE,1,0,bad shuttle broken fastread
Nice helpful for my delay practice 👍👍👍👍READ MORE,5,1,nice helpful delay practice read
Good for itREAD MORE,4,1,good itread
Good Enough.READ MORE,4,1,good enough read
Very good product and the seller cooperation is wonderful 😊.READ MORE,5,1,good product seller cooperation wonderful read
"Bad product, bottom side quality is too bad,fake product , didn't expect from Yonex and FlipkartREAD MORE",1,0,bad product bottom side quality bad fake product expect yonex flipkartread
Original and good quality...READ MORE,5,1,original good quality read
Nice ProductREAD MORE,5,1,nice productread
Yonex std quality alwaysREAD MORE,4,1,yonex std quality alwaysread
Very good nice quality 👍☺️👍☺️👍👍☺️☺️READ MORE,5,1,good nice quality read
Outstanding shuttle osmm experience while playingREAD MORE,5,1,outstanding shuttle osmm experience playingread
Worst product. All shuttle break from cork.READ MORE,1,0,worst product shuttle break cork read
"This is even better than 2000. It's Cork is stronger and hence more durable. But in 2000, shuttle is better but it detaches itself easily from Cork and less durable.READ MORE",5,1,even better cork stronger hence durable shuttle better detaches easily cork less durable read
In time keep it upREAD MORE,5,1,time keep upread
Thanks Lot for Quick delivery. Nice experience.READ MORE,5,1,thanks lot quick delivery nice experience read
Really niceREAD MORE,5,1,really niceread
Out of 6 box one of the box is not good Its base is coming out in one game only just 15 mins game.It has happens for 4 shuttle of the se box.READ MORE,2,0,box one box not good base coming one game min game happens shuttle box read
"Quality and rates are very good, what else is required after thatREAD MORE",5,1,quality rate good else required thatread
Awesome products.....but only problem is priceREAD MORE,5,1,awesome product problem priceread
Good product but it's price was so high...READ MORE,5,1,good product price high read
FineREAD MORE,4,1,fineread
This time quality is best 🔥🔥READ MORE,5,1,time quality best read
PerfectREAD MORE,4,1,perfectread
Product Is Vey Much Bad ....And the price Dosn't Match With The quality ..very Bad productREAD MORE,1,0,product vey much bad price dosn match quality bad productread
Quality was not good....READ MORE,1,0,quality not good read
Super hitREAD MORE,5,1,super hitread
good productREAD MORE,4,1,good productread
NycREAD MORE,1,0,nycread
Worst quality... Shuttles are shaking while playing... Bad quality.READ MORE,1,0,worst quality shuttle shaking playing bad quality read
Worst on recent times.We played new Ball today.Two balls bottom tape were gone within 2 hours.I attach with image.The last two delivery was only worst.We are intermediate players and playing doubles.A single ball can stand atleast two day but last two delivery whole 6 balls were damaged within 3 days.READ MORE,1,0,worst recent time played new ball today two ball bottom tape gone within hour attach image last two delivery worst intermediate player playing double single ball stand atleast two day last two delivery whole ball damaged within day read
Quality of product is very good but speed is very high.READ MORE,4,1,quality product good speed high read
"All the shuttle bottom got broken, waste of money..READ MORE",1,0,shuttle bottom got broken waste money read
good product value of moneyREAD MORE,5,1,good product value moneyread
Not as good as per it's priceREAD MORE,1,0,not good per priceread
Good and long lastingREAD MORE,5,1,good long lastingread
Worst product.it lasts only two days (each cork)READ MORE,1,0,worst product last two day cork read
Not badREAD MORE,1,0,not badread
Got few defective but then got replaced. Now these are very good to play.READ MORE,5,1,got defective got replaced good play read
Poor quality not byingREAD MORE,2,0,poor quality not byingread
Best 👍👍👍👍READ MORE,5,1,best read
Nice shuttle for beginners to intermediate players. Very very good for practice.READ MORE,5,1,nice shuttle beginner intermediate player good practice read
Product not good...READ MORE,1,0,product not good read
The quality was bad and it didn't lasted for even a month.READ MORE,1,0,quality bad lasted even month read
Quality is very poor...READ MORE,2,0,quality poor read
Amazing shuttlesREAD MORE,5,1,amazing shuttlesread
Awesome but price is very HighREAD MORE,5,1,awesome price highread
Too costly.Hardly lasts for a day.READ MORE,5,1,costly hardly last day read
Very BadShuttle broke after 1 gameREAD MORE,2,0,badshuttle broke gameread
Good shuttlecockREAD MORE,5,1,good shuttlecockread
You did wonderful jobREAD MORE,5,1,wonderful jobread
Very good productREAD MORE,4,1,good productread
Good 👍👍👍READ MORE,5,1,good read
"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttleREAD MORE",1,0,buy worst purchase ever play one game shuttleread
👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸READ MORE,5,1,shuttlecock nice long durability value money read
Best shuttles for indoor gamesREAD MORE,5,1,best shuttle indoor gamesread
quality poorREAD MORE,1,0,quality poorread
Very good product without any confusionREAD MORE,5,1,good product without confusionread
It's the s good qualityREAD MORE,5,1,good qualityread
Quality of the product was too badREAD MORE,1,0,quality product badread
Bad qualityREAD MORE,5,1,bad qualityread
Wonderful product 👍👍READ MORE,4,1,wonderful product read
Nice product. fast deliveryREAD MORE,4,1,nice product fast deliveryread
Very bad quality shuttle Torn the mesh only within 3gamesREAD MORE,1,0,bad quality shuttle torn mesh within gamesread
It was originalREAD MORE,5,1,originalread
Genuine product performed as expectedREAD MORE,5,1,genuine product performed expectedread
full mostiREAD MORE,5,1,full mostiread
Received the original product and it’s awesome.READ MORE,5,1,received original product awesome read
Base of shuttle is very low quality.READ MORE,2,0,base shuttle low quality read
Bad colourREAD MORE,2,0,bad colourread
Not expected that yonex sales such default shuttlesREAD MORE,1,0,not expected yonex sale default shuttlesread
Orginal item goodREAD MORE,4,1,orginal item goodread
Very good product One shuttle you have to play minimum ten gsmesREAD MORE,5,1,good product one shuttle play minimum ten gsmesread
BestREAD MORE,4,1,bestread
"Really bad experience,,  some of them is very poor quality..  Don't go for itREAD MORE",2,0,really bad experience poor quality itread
Super shuttleREAD MORE,5,1,super shuttleread
It's awesomeREAD MORE,4,1,awesomeread
Best shuttleREAD MORE,5,1,best shuttleread
Very good product.READ MORE,4,1,good product read
All shuttles were too bad. They are breaking easily after 3-4 gamesREAD MORE,1,0,shuttle bad breaking easily gamesread
Quality of this  product purchased online is poor as compared to offline stores.👎🏼READ MORE,2,0,quality product purchased online poor compared offline store read
Long lasts than other nylon shuttleREAD MORE,5,1,long last nylon shuttleread
Good 👍READ MORE,4,1,good read
Genuine product and no used ones luckilyREAD MORE,5,1,genuine product used one luckilyread
Good jobREAD MORE,5,1,good jobread
Thanks for delivery in timeREAD MORE,5,1,thanks delivery timeread
Great stuff♥️READ MORE,5,1,great stuff read
Nice tqREAD MORE,5,1,nice tqread
Long lastingREAD MORE,5,1,long lastingread
Good product but his price is very high...READ MORE,5,1,good product price high read
An original yonex shuttle. Decent price as compared to the market. Durability is not that much. It would hardly last 6-7 matches at max. But the flight path is very predictable and is a very good option and more durable in comparison to the feather shuttle.READ MORE,4,1,original yonex shuttle decent price compared market durability not much would hardly last match max flight path predictable good option durable comparison feather shuttle read
Mind blowingREAD MORE,5,1,mind blowingread
Very good.READ MORE,5,1,good read
Good one I like itREAD MORE,5,1,good one like itread
Got original productREAD MORE,5,1,got original productread
Well brandREAD MORE,5,1,well brandread
This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttlesREAD MORE,5,1,fourth order recieved rupee shuttlesread
All got broken so soon.READ MORE,2,0,got broken soon read
Good quality 👍READ MORE,5,1,good quality read
Good quality. Delivered on time .READ MORE,4,1,good quality delivered time read
Unlike my earlier purchases this is not even lasting for  2 days .READ MORE,2,0,unlike earlier purchase not even lasting day read
Low quality... don't buy online😖READ MORE,1,0,low quality buy online read
Looks genuine with great qualityREAD MORE,5,1,look genuine great qualityread
Quality is very poor..READ MORE,2,0,quality poor read
No goodREAD MORE,2,0,goodread
This is the original product. Buy with no hesitationREAD MORE,5,1,original product buy hesitationread
Very nice and good quality service.....thanks flipkart and team.READ MORE,5,1,nice good quality service thanks flipkart team read
Super ❤️READ MORE,4,1,super read
Too goodREAD MORE,5,1,goodread
Bad product..... Waste of money😡Don't buy this productREAD MORE,1,0,bad product waste money buy productread
Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍READ MORE,5,1,nice product delivered day super super super read
Its good but slow moveREAD MORE,4,1,good slow moveread
Good boyREAD MORE,5,1,good boyread
Original product.  Liked itREAD MORE,5,1,original product liked itread
This easy to playREAD MORE,5,1,easy playread
Good product. Original Yonex.READ MORE,5,1,good product original yonex read
As usual it's a good one. Its YonexREAD MORE,4,1,usual good one yonexread
nice shuttle for reasonable price. the flight doesnt alter much even after 6 or 7 games. far better than those purchased from local storesREAD MORE,5,1,nice shuttle reasonable price flight doesnt alter much even game far better purchased local storesread
Best shuttle for practiceREAD MORE,5,1,best shuttle practiceread
Marvellous product.READ MORE,5,1,marvellous product read
Awesome product 👍🏻READ MORE,5,1,awesome product read
poor QualityREAD MORE,1,0,poor qualityread
Product quantity to badREAD MORE,2,0,product quantity badread
not goodREAD MORE,1,0,not goodread
Not that good ququalityREAD MORE,1,0,not good ququalityread
genuine product thank you flipkartREAD MORE,4,1,genuine product thank flipkartread
I'm an intermediate player. The shuttle easily lasts for 10-15 games without any problem. Can be used for casual outdoor games.READ MORE,5,1,intermediate player shuttle easily last game without problem used casual outdoor game read
Best!READ MORE,5,1,best read
GREAT SELLER REPLACEMENT DELIVERY IN 2 daysREAD MORE,5,1,great seller replacement delivery daysread
"Instead of Mavis 350,I got Mavis 2000i.That product is also duplicate. I am quite frustrated. Please don't buy this product.READ MORE",1,0,instead mavis got mavis product also duplicate quite frustrated please buy product read
AverageREAD MORE,1,0,averageread
Amazing priceREAD MORE,5,1,amazing priceread
"The product and pacaging is very good 👌, thank you flipkartREAD MORE",5,1,product pacaging good thank flipkartread
"Must buy , value for moneyREAD MORE",5,1,must buy value moneyread
ValuableREAD MORE,5,1,valuableread
Iam order this cockes are quality is not good and speed is slow bad productREAD MORE,1,0,iam order cockes quality not good speed slow bad productread
Very good goodREAD MORE,5,1,good goodread
Very good qualityREAD MORE,5,1,good qualityread
Product is good.READ MORE,4,1,product good read
Nice packing  good qualityREAD MORE,5,1,nice packing good qualityread
Best badminton shuttle nothing is better than this product Just a little expensive but is the best !READ MORE,5,1,best badminton shuttle nothing better product little expensive best read
Speed of the shuttle is not not as per standard Yonex Mavis 350?READ MORE,2,0,speed shuttle not not per standard yonex mavis read
Good you such definetely go for it 👍👍🤞READ MORE,5,1,good definetely read
GoodREAD MORE,1,0,goodread
Good ProductAwesome Delivery Nice Durability Highly Recommended 🥰🥰READ MORE,5,1,good productawesome delivery nice durability highly recommended read
GodREAD MORE,5,1,godread
excellentREAD MORE,5,1,excellentread
This is perfectREAD MORE,5,1,perfectread
"I don't think it is Mavis 350, quality is badREAD MORE",2,0,think mavis quality badread
Worst Quality.....READ MORE,1,0,worst quality read
ok okREAD MORE,5,1,okread
Good one... Little more quality requiredREAD MORE,5,1,good one little quality requiredread
Perfect to playREAD MORE,5,1,perfect playread
Tq okREAD MORE,5,1,okread
Genuine product.READ MORE,5,1,genuine product read
Excellent balanceREAD MORE,5,1,excellent balanceread
Gud to playREAD MORE,5,1,gud playread
Value for money 💵 buy it again ☺️READ MORE,4,1,value money buy read
Very..good product.. i really... impressedREAD MORE,5,1,good product really impressedread
Superb corckREAD MORE,5,1,superb corckread
We play 2 hours daily and none of this lasted a whole day. Poor quality .READ MORE,1,0,play hour daily none lasted whole day poor quality read
We use always this.super.READ MORE,5,1,use always super read
niceREAD MORE,4,1,niceread
Gods productREAD MORE,5,1,god productread
Quality of the product is very good and it's quite genuine productREAD MORE,5,1,quality product good quite genuine productread
Very good...Durable...READ MORE,5,1,good durable read
There is no one better than yonex MavisREAD MORE,5,1,one better yonex mavisread
I m using mavis 350 since 5 years.. I would have given 5 stars but -1 star for condition of barrel received. However shuttles are in good condition as it is nylon.Delivery was good received the item within three days.READ MORE,4,1,using mavis since year would given star star condition barrel received however shuttle good condition nylon delivery good received item within three day read
Bad packings shuttle complicatedREAD MORE,4,1,bad packing shuttle complicatedread
Original made in japanREAD MORE,5,1,original made japanread
This is best for beginners and professionalREAD MORE,5,1,best beginner professionalread
Nice Product.READ MORE,5,1,nice product read
MassiveREAD MORE,5,1,massiveread
Go for it without any second thoughtsREAD MORE,5,1,without second thoughtsread
This is not original Yonex Mavis 350. It is a useless cork with the look and branding of Yonex Mavis 350. It won’t last for more than 2 gamesREAD MORE,1,0,not original yonex mavis useless cork look branding yonex mavis last gamesread
No need mention anything it's always the bestREAD MORE,5,1,need mention anything always bestread
Super Quality mind blowingREAD MORE,5,1,super quality mind blowingread
Good shuttlesREAD MORE,5,1,good shuttlesread
All the shuttle are so niceREAD MORE,5,1,shuttle niceread
Awesome must buyREAD MORE,5,1,awesome must buyread
G9odREAD MORE,5,1,odread
Good quality ☺️READ MORE,5,1,good quality read
The best productREAD MORE,5,1,best productread
"This is my 2nd purchase for same product Good shuttle as compared to othersI don't know but the mavis350 I bought from Flipkart is very very sturdy, nylon skirt gets ripped but cork doesn't get loose or came out of single shuttle and it's good for me We use those ripped shuttle for warm up👍READ MORE",5,1,purchase product good shuttle compared othersi know mavis bought flipkart sturdy nylon skirt get ripped cork get loose came single shuttle good use ripped shuttle warm read
"High durability, long lasting,READ MORE",4,1,high durability long lasting read
Long life and good qualityREAD MORE,4,1,long life good qualityread
Good quality. Genuine product.READ MORE,5,1,good quality genuine product read
SupperREAD MORE,5,1,supperread
Nic oneREAD MORE,5,1,nic oneread
Product is good and worth of every penny.READ MORE,5,1,product good worth every penny read
For a player it's goodREAD MORE,5,1,player goodread
Super qulittREAD MORE,5,1,super qulittread
Good has company brandREAD MORE,4,1,good company brandread
Shuttle is very good perfect for badminton playersREAD MORE,5,1,shuttle good perfect badminton playersread
Nice itemREAD MORE,5,1,nice itemread
Good for playing shuttleREAD MORE,5,1,good playing shuttleread
Superb for outdoor. Nice QualityREAD MORE,4,1,superb outdoor nice qualityread
Value for money💯💯READ MORE,5,1,value money read
Very nice shuttle and speedREAD MORE,5,1,nice shuttle speedread
Good and durability is also goodREAD MORE,5,1,good durability also goodread
"Good,READ MORE",5,1,good read
Excellent shuttle for outdoor use. And can last for 2-3 daysREAD MORE,5,1,excellent shuttle outdoor use last daysread
It is so goodREAD MORE,4,1,goodread
Original . Awesome. Love to FlipkartREAD MORE,5,1,original awesome love flipkartread
"Very good , but expensive . Try it.READ MORE",5,1,good expensive try read
Great product😇READ MORE,5,1,great product read
Awesome 👌READ MORE,5,1,awesome read
Worth for money good oneREAD MORE,4,1,worth money good oneread
VEERY GOOD PRDUCTREAD MORE,5,1,veery good prductread
Perfect for indoor games..READ MORE,5,1,perfect indoor game read
Very Good Quality Provided By Flipkart!READ MORE,5,1,good quality provided flipkart read
Good product...READ MORE,5,1,good product read
Shuttlecock quality is much more betterREAD MORE,5,1,shuttlecock quality much betterread
The shuttles areREAD MORE,2,0,shuttle areread
Perfect for intermediate level of playingREAD MORE,5,1,perfect intermediate level playingread
Good product for yonex and good service for FlipkartREAD MORE,5,1,good product yonex good service flipkartread
It's good I really appreciateREAD MORE,5,1,good really appreciateread
Excellent shuttle.....READ MORE,5,1,excellent shuttle read
Nice oneREAD MORE,4,1,nice oneread
WorthyREAD MORE,5,1,worthyread
I am happyREAD MORE,5,1,happyread
Kollam superREAD MORE,5,1,kollam superread
Genuine product...thanks flipkartREAD MORE,5,1,genuine product thanks flipkartread
This time not good soREAD MORE,1,0,time not good soread
Not worth for even single star.READ MORE,1,0,not worth even single star read
Fine oneREAD MORE,4,1,fine oneread
Very poor QualityREAD MORE,1,0,poor qualityread
Quality was not good after playing one or two games the bottom came off the shuttle.READ MORE,1,0,quality not good playing one two game bottom came shuttle read
Good & original productREAD MORE,5,1,good original productread
Excellent.READ MORE,5,1,excellent read
Bad product 🥴READ MORE,1,0,bad product read
No one is like YonexREAD MORE,5,1,one like yonexread
Good build qualityREAD MORE,4,1,good build qualityread
Gd productREAD MORE,5,1,productread
SupebREAD MORE,4,1,supebread
Very good 😊😊😊😊😊READ MORE,5,1,good read
This product is a very bad and totally changed.READ MORE,2,0,product bad totally changed read
superREAD MORE,5,1,superread
Nice product u can go for it.. Packing was good overall genuine product worth for money.READ MORE,4,1,nice product packing good overall genuine product worth money read
Worth of costREAD MORE,5,1,worth costread
Best in mid range for daily useREAD MORE,5,1,best mid range daily useread
Very nice product.READ MORE,4,1,nice product read
Nice product.READ MORE,4,1,nice product read
See getting mavis 350 in market is quite confused one with originality and it's transportation charge exceeds than our budget but flipkart made us so comfortable by providing highly original product with good packing and timy delivery.READ MORE,5,1,see getting mavis market quite confused one originality transportation charge exceeds budget flipkart made comfortable providing highly original product good packing timy delivery read
Better qualityREAD MORE,5,1,better qualityread
Good quality shuttles. Delivery is also fastREAD MORE,5,1,good quality shuttle delivery also fastread
Original shuttle ❤️🔥READ MORE,5,1,original shuttle read
Poor responsed from FlipkartREAD MORE,4,1,poor responsed flipkartread
Fantastic….READ MORE,5,1,fantastic read
Very very disappoinment Flipkart...I ordered 2set of mavis 350 shuttle but 12 shuttles are very very poor quality... 1shuttle only for 2 gameVer very disappoinmentREAD MORE,1,0,disappoinment flipkart ordered set mavis shuttle shuttle poor quality shuttle gamever disappoinmentread
Nuber one qualittyREAD MORE,5,1,nuber one qualittyread
Value for moneyREAD MORE,4,1,value moneyread
Original product love it..READ MORE,5,1,original product love read
Good to see that what is described by Brand and seller are spot on..Ideal for beginners to Amateur players.READ MORE,5,1,good see described brand seller spot ideal beginner amateur player read
"Super,strongREAD MORE",5,1,super strongread
"Price is too much,But can't compare with otherREAD MORE",4,1,price much compare otherread
GdREAD MORE,5,1,gdread
Superb quality . Thanks alot to deliver guyREAD MORE,5,1,superb quality thanks alot deliver guyread
Ok okREAD MORE,4,1,okread
Genuine and Original product by seller. Mavis 350 is slow and suited for Indian atmospheric conditions as per personal opinion.READ MORE,5,1,genuine original product seller mavis slow suited indian atmospheric condition per personal opinion read
Very good service. Fast deliveryREAD MORE,5,1,good service fast deliveryread
The product was good and good for smashes but not good for drop.READ MORE,4,1,product good good smash not good drop read
Great product. Highly recommended for practice.READ MORE,5,1,great product highly recommended practice read
Good to playREAD MORE,4,1,good playread
Genuine best qualityREAD MORE,5,1,genuine best qualityread
Overall product is good except durability... It lasts only 3-4 days of heavy match...In this price range it's durability should be increased according to my opinion...READ MORE,4,1,overall product good except durability last day heavy match price range durability increased according opinion read
I am playing badminton from 2 years and I never use other shuttle than this and this shuttle is fabulous vREAD MORE,5,1,playing badminton year never use shuttle shuttle fabulous vread
"The Shuttles are genuine, you can easily go for it.READ MORE",4,1,shuttle genuine easily read
Best haiREAD MORE,5,1,best hairead
Fantastic 👌👌👌READ MORE,5,1,fantastic read
Cheapest and originalREAD MORE,5,1,cheapest originalread
Two pieces got damaged in single match#totally waste of money #READ MORE,1,0,two piece got damaged single match totally waste money read
Very Good and long lasting. The flight of the shuttlecock I'd goodREAD MORE,4,1,good long lasting flight shuttlecock goodread
Poor qualityREAD MORE,1,0,poor qualityread
Nice FlowerREAD MORE,5,1,nice flowerread
GOODREAD MORE,5,1,goodread
Quick delivery and genuine productREAD MORE,5,1,quick delivery genuine productread
Ball was not quite good. So don’t buy from them . I have bought more than 3 boxes . All three were not goodREAD MORE,2,0,ball not quite good buy bought box three not goodread
WastREAD MORE,2,0,wastread
Loved itREAD MORE,5,1,loved itread
Enjoyed playing with it.READ MORE,5,1,enjoyed playing read
Yonex mavis 350 nylon shuttle best Quality 😍😍READ MORE,5,1,yonex mavis nylon shuttle best quality read
"Best product at this price , one cork last for upto 20 to 25 matches if u play prpoerly.READ MORE",4,1,best product price one cork last upto match play prpoerly read
Superb nice productsREAD MORE,5,1,superb nice productsread
Nice MAVIS350READ MORE,5,1,nice mavis read
Good quality and long life. Hard to get a simalar shuttleREAD MORE,5,1,good quality long life hard get simalar shuttleread
The best in the market. Durable+ good path.READ MORE,5,1,best market durable good path read
Very nice and long lasting shuttle. Recommended.READ MORE,5,1,nice long lasting shuttle recommended read
Classy game feel the strung sound wile hitting those corkzzz that's really awesomeREAD MORE,5,1,classy game feel strung sound wile hitting corkzzz really awesomeread
"The Settle Mavis 350 given by you was very good and we got it more quickly according to it, thank you very much.READ MORE",4,1,settle mavis given good got quickly according thank much read
Genuine product and fk delivery super fastREAD MORE,5,1,genuine product delivery super fastread
Thank you so much sir. For solving my problemREAD MORE,5,1,thank much sir solving problemread
"Last two time delivered cork original quality but this time very low quality , i am very disappointedREAD MORE",1,0,last two time delivered cork original quality time low quality disappointedread
Nice 👍👍READ MORE,4,1,nice read
NormalREAD MORE,5,1,normalread
Need 10 tubes moreREAD MORE,5,1,need tube moreread
Recieved very bad quality product. Usually each shuttle last for some days but the entire box lasted for less than a week 😂. It's better to buy from shops.READ MORE,1,0,recieved bad quality product usually shuttle last day entire box lasted less week better buy shop read
So far good. Will update review after a monthREAD MORE,4,1,far good update review monthread
must buy.READ MORE,5,1,must buy read
Nice shuttle for long run games… good for out door as wellREAD MORE,5,1,nice shuttle long run game good door wellread
The best shuttle.Using this shuttle for the past 2 years. So I recommend it. After trying many shuttle found out that is is the best one. Long lasting. durable.READ MORE,5,1,best shuttle using shuttle past year recommend trying many shuttle found best one long lasting durable read
"Excellent flight, perfect for daily practiceREAD MORE",5,1,excellent flight perfect daily practiceread
It is good productREAD MORE,5,1,good productread
Good shuttle and fast delivery by Flipkart.READ MORE,4,1,good shuttle fast delivery flipkart read
Superb shuttle....❤️READ MORE,5,1,superb shuttle read
everything is fine with this shuttlecock except its durabilityREAD MORE,4,1,everything fine shuttlecock except durabilityread
Wow...fantastic....thanks flipkart.READ MORE,5,1,wow fantastic thanks flipkart read
Vvvv goodREAD MORE,5,1,vvvv goodread
Super quality..READ MORE,5,1,super quality read
Didn't expected this quality of product . The quality of each shuttle is similar to a 5rupees shuttle. Even didn't refunded the money. Wastage of money.READ MORE,1,0,expected quality product quality shuttle similar rupee shuttle even refunded money wastage money read
"Quality and durability is very low(not even 5 matches it withstood) when compared for this, i guess they have provided old stock for me!! Here there is a problem which is new stock and whch are old stockREAD MORE",2,0,quality durability low not even match withstood compared guess provided old stock problem new stock whch old stockread
Item as described..READ MORE,5,1,item described read
Satisfied.READ MORE,5,1,satisfied read
Good 👍🏻READ MORE,4,1,good read
Best shuttle go for it 🤗READ MORE,5,1,best shuttle read
Awesome purchase..👍👍👍👍💥💥💥READ MORE,5,1,awesome purchase read
Nice product totally slowREAD MORE,5,1,nice product totally slowread
"Few shuttles are way faster within few knocks, but overall seems better. Not sure if authenticity of the shuttles. Price could have been little lesserREAD MORE",4,1,shuttle way faster within knock overall seems better not sure authenticity shuttle price could little lesserread
FantastickREAD MORE,4,1,fantastickread
Price too highREAD MORE,1,0,price highread
Wery good productREAD MORE,5,1,wery good productread
Super Item...READ MORE,5,1,super item read
Good product quality 👍READ MORE,5,1,good product quality read
It's Durable. One Shuttle lasts for more than 2 weeks. Since I'm at Intermediate. It's lasts long than usual.READ MORE,5,1,durable one shuttle last week since intermediate last long usual read
Very good and durable shuttle!READ MORE,5,1,good durable shuttle read
Super good qulityREAD MORE,5,1,super good qulityread
Absolutely amazing product... Great for beginners One shuttle almost last for 2 daysREAD MORE,5,1,absolutely amazing product great beginner one shuttle almost last daysread
Nice productsREAD MORE,5,1,nice productsread
superb product from flipkartREAD MORE,4,1,superb product flipkartread
WaoooooVery NiceReally I like it's 👌👌👍READ MORE,5,1,waooooovery nicereally like read
Nice as expectedREAD MORE,5,1,nice expectedread
Terrible experience the shuttle have not even lasted for 6 straight gamesREAD MORE,2,0,terrible experience shuttle not even lasted straight gamesread
Worth for money. Buy it from online only because outside it may be costly .READ MORE,5,1,worth money buy online outside may costly read
Worst quality i have ever buy  .....it Dancing while flying....Very disappointedREAD MORE,2,0,worst quality ever buy dancing flying disappointedread
Superb very nice oneValue for moneyREAD MORE,4,1,superb nice onevalue moneyread
Nothing to say about it...bt we have  doubts is it original yonex bcz coke life is shortREAD MORE,4,1,nothing say doubt original yonex bcz coke life shortread
Nice this productREAD MORE,5,1,nice productread
GOODREAD MORE,4,1,goodread
Nice shuttle for advance players... Thanks FlipkartREAD MORE,5,1,nice shuttle advance player thanks flipkartread
Low quality.READ MORE,1,0,low quality read
very nice and expected productREAD MORE,5,1,nice expected productread
Geniuen product to buy Thanks to Flipkart and YonexREAD MORE,5,1,geniuen product buy thanks flipkart yonexread
Thanku flipkart👍👍👍👍READ MORE,4,1,thanku flipkart read
Go for it😏😏READ MORE,5,1,read
Trustworthy seller.READ MORE,5,1,trustworthy seller read
Good  qualityREAD MORE,5,1,good qualityread
"The product was as aspected , it was greatREAD MORE",5,1,product aspected greatread
Mavis 350 beat options all shuttle level playersREAD MORE,5,1,mavis beat option shuttle level playersread
Good product....READ MORE,5,1,good product read
"Awesome,must buyREAD MORE",5,1,awesome must buyread
ExcellentREAD MORE,1,0,excellentread
Good product at discounted price I got it at 850READ MORE,5,1,good product discounted price got read
Simply awesomeREAD MORE,5,1,simply awesomeread
Good Product.READ MORE,5,1,good product read
Nice product 🤩🤩but price is too high😞READ MORE,5,1,nice product price high read
Very nice.READ MORE,5,1,nice read
amazing cocREAD MORE,5,1,amazing cocread
Nice workREAD MORE,5,1,nice workread
"Good Product, Same as bought from shopsREAD MORE",5,1,good product bought shopsread
"On time , good deliveryREAD MORE",4,1,time good deliveryread
Price so highREAD MORE,4,1,price highread
